Einschreibeschluessel,Kuerzel,Semesterzug,"Name der Vorlesung",Kurzbezeichnung,Dozent,Bemerkungen,"Weiterer Link",Moodle-Link,Evaluierungswunsch
ClausiusREB,JAN,VM7,Regen.Energ,REE,JANSSEN,," ","https://moodle.hs-hannover.de/course/view.php?id=26704 ",
"Bitte per E-Mail beim Dozenten erfragen",FRI,II2,RechtsK.,REK,FRICKE,," "," ",
"Bitte per E-Mail beim Dozenten erfragen",FRI,M3A,RechtsK.,REK,FRICKE,," "," ",
"Bitte per E-Mail beim Dozenten erfragen",FRI,M3B,RechtsK.,REK,FRICKE,," "," ",
"Bitte per E-Mail beim Dozenten erfragen",FRI,MT5,RechtsK.,REK,FRICKE,," "," ",
"Bitte per E-Mail beim Dozenten erfragen",FRI,VE3,RechtsK.,REK,FRICKE,," "," ",
ret1wolfnadws2425,WOL,VE4,ReaktTechn1,RET1,"WOLF      ",," ","https://moodle.hs-hannover.de/course/view.php?id=26863 ",
Brennstoff,KOE,VM6,ReaktTechn2,RET2,KOEHLER,," ","https://moodle.hs-hannover.de/course/view.php?id=27250 ",
Brennstoff,KOE,VU6,ReaktTechn2,RET2,KOEHLER,," ","https://moodle.hs-hannover.de/course/view.php?id=27250 ",
RoaWiSe2425,HOS,VM2,Roboterapp,ROA,HOFSCHULTE,," ","https://moodle.hs-hannover.de/course/view.php?id=27007 ",
"Bitte per E-Mail beim Dozenten erfragen",GRM,VM3,Radio+Str-L,RSL,GRÜNEMAIER,," ","https://moodle.hs-hannover.de/course/view.php?id=27341 Labor in Radioökologie und Strahlenschutz",
"Bitte per E-Mail beim Dozenten erfragen",GRM,VM3,Radio+Strl.,RST,GRÜNEMAIER,," ","https://moodle.hs-hannover.de/course/view.php?id=27341 Radioökologie und Strahlenschutz",
?WQ3ecNr,KAL,AM4,Regelungst1,RTK1,KALLAGE,," ","https://moodle.hs-hannover.de/course/view.php?id=27447 ",
RT1_Neu_WiSe24-25,NEU,ID3,Regelungst1,RTK1,NEUMANN,," ","https://moodle.hs-hannover.de/course/view.php?id=27455 ",
?WQ3ecNr,KAL,II4,Regelungst1,RTK1,KALLAGE,," ","https://moodle.hs-hannover.de/course/view.php?id=27447 ",
RT1_Neu_WiSe24-25,NEU,KT5,Regelungst1,RTK1,NEUMANN,," ","https://moodle.hs-hannover.de/course/view.php?id=27455 ",
RT1_Neu_WiSe24-25,NEU,MT3,Regelungst1,RTK1,NEUMANN,," ","https://moodle.hs-hannover.de/course/view.php?id=27455 ",
?WQ3ecNr,KAL,PS4,Regelungst1,RTK1,KALLAGE,," ","https://moodle.hs-hannover.de/course/view.php?id=27447 ",
RT1_Neu_WiSe24-25,NEU,PT5,Regelungst1,RTK1,NEUMANN,," ","https://moodle.hs-hannover.de/course/view.php?id=27455 ",
?WQ3ecNr,KAL,WI4,Regelungst1,RTK1,KALLAGE,," ","https://moodle.hs-hannover.de/course/view.php?id=27447 ",
RT1_Neu_WiSe24-25,NEU,WT5,Regelungst1,RTK1,NEUMANN,," ","https://moodle.hs-hannover.de/course/view.php?id=27455 ",
RGT2_WiSe_24/25,STK,AM5,Regelungst2,RTK2,STUECKELM,," ","https://moodle.hs-hannover.de/course/view.php?id=26959 ",
RGT2_WiSe_24/25,STK,ID5,Regelungst2,RTK2,STUECKELM,," ","https://moodle.hs-hannover.de/course/view.php?id=26959 ",
RGT2_WiSe_24/25,STK,II5,Regelungst2,RTK2,STUECKELM,," ","https://moodle.hs-hannover.de/course/view.php?id=26959 ",
RGT2_WiSe_24/25,STK,MT5,Regelungst2,RTK2,STUECKELM,," ","https://moodle.hs-hannover.de/course/view.php?id=26959 ",
PID-WiSe-24_25,HOY,VE4,Regelungst1,RTV1,HOYER,," ","https://moodle.hs-hannover.de/course/view.php?id=26882 ",
BODE-WiSe-24_25,HOY,VE5,Regelungst2,RTV2,HOYER,," ","https://moodle.hs-hannover.de/course/view.php?id=26879 ",
ReStMuWiSe2425,HOS,VM2,StrgBahnMul,SBM,HOFSCHULTE,," ","https://moodle.hs-hannover.de/course/view.php?id=27009 ",
SCE_2425,NAD,PE2,SusCircEcon,SCE,NADOLNY,," ","https://moodle.hs-hannover.de/course/view.php?id=27168 ",
SCE_2425,NAD,PM2,SusCircEcon,SCE,NADOLNY,," ","https://moodle.hs-hannover.de/course/view.php?id=27168 ",
Lieferkette,BEG,WI5,SuplChManag,SCM,BEGEMANN,," ","https://moodle.hs-hannover.de/course/view.php?id=27452 ",
NavierStokes,GOT,PE2,StroemDyCFD,SDC,GOTTSCHLICH,," ","https://moodle.hs-hannover.de/course/view.php?id=26929 ",
NavierStokes,GOT,PE2,StroeDyCFDS,SDCS,GOTTSCHLICH,," ","https://moodle.hs-hannover.de/course/view.php?id=26929 ",
NavierStokes,GOT,VM4,StroemFluid,SFD,GOTTSCHLICH,," ","https://moodle.hs-hannover.de/course/view.php?id=26927 ",
BPT_WiSe2425,NAD,VM6,SteTecHygGe,SHG,NADOLNY,"<p dir=""ltr"" style=""text-align:left;"">Start Donnerstag 26.09. 10Uhr RAum 1B.1.21</p><p dir=""ltr"" style=""text-align:left;"">Anwesenheitspflicht, Sicherheitseinweisung!<br /></p>"," ","https://moodle.hs-hannover.de/course/view.php?id=27165 ",
LZ84UwK,FRA,XF1,Sicherheitstec,SHT,FRAEGER,," ","https://moodle.hs-hannover.de/course/view.php?id=27280 ",
y?Kjg8NB,KAL,ID5,"Simul Techn",SIT,KALLAGE,," ","https://moodle.hs-hannover.de/course/view.php?id=27448 ",
y?Kjg8NB,KAL,II5,"Simul Techn",SIT,KALLAGE,," ","https://moodle.hs-hannover.de/course/view.php?id=27448 ",
y?Kjg8NB,KAL,MT5,"Simul Techn",SIT,KALLAGE,," ","https://moodle.hs-hannover.de/course/view.php?id=27448 ",
Magritte,CAS,PE2,"Simul Techn",SITM,CASTILLO-PAZ,," ","https://moodle.hs-hannover.de/course/view.php?id=27221 ",
Magritte,CAS,PM2,"Simul Techn",SITM,CASTILLO-PAZ,," ","https://moodle.hs-hannover.de/course/view.php?id=27221 ",
Eiermuschelnudelhühnersuppe,KLO,M2A,Strömg.Lehr,SLE,KLOSE,," ","https://moodle.hs-hannover.de/course/view.php?id=26831 ",
Eiermuschelnudelhühnersuppe,KLO,VE2,Strömg.Lehr,SLE,KLOSE,," ","https://moodle.hs-hannover.de/course/view.php?id=26831 ",
Eiermuschelnudelhühnersuppe,KLO,WI2,Strömg.Lehr,SLE,KLOSE,," ","https://moodle.hs-hannover.de/course/view.php?id=26831 ",
SPA-2425,LIE,M3A,Spanen,SPA,LIERSE,," ","https://moodle.hs-hannover.de/course/view.php?id=27194 ",
SPA-2425,LIE,M3B,Spanen,SPA,LIERSE,," ","https://moodle.hs-hannover.de/course/view.php?id=27194 ",
SPA-2425,LIE,WI4,Spanen,SPA,LIERSE,," ","https://moodle.hs-hannover.de/course/view.php?id=27194 ",
STWiSe2425,HOS,AM4,SteuerTec,SRT,HOFSCHULTE,," ","https://moodle.hs-hannover.de/course/view.php?id=27006 ",
STWiSe2425,HOS,ID3,SteuerTec,SRT,HOFSCHULTE,," ","https://moodle.hs-hannover.de/course/view.php?id=27006 ",
STWiSe2425,HOS,II4,SteuerTec,SRT,HOFSCHULTE,," ","https://moodle.hs-hannover.de/course/view.php?id=27006 ",
STWiSe2425,HOS,KT5,SteuerTec,SRT,HOFSCHULTE,," ","https://moodle.hs-hannover.de/course/view.php?id=27006 ",
STWiSe2425,HOS,MT3,SteuerTec,SRT,HOFSCHULTE,," ","https://moodle.hs-hannover.de/course/view.php?id=27006 ",
STWiSe2425,HOS,PS4,SteuerTec,SRT,HOFSCHULTE,," ","https://moodle.hs-hannover.de/course/view.php?id=27006 ",
STWiSe2425,HOS,PT5,SteuerTec,SRT,HOFSCHULTE,," ","https://moodle.hs-hannover.de/course/view.php?id=27006 ",
STWiSe2425,HOS,WI4,SteuerTec,SRT,HOFSCHULTE,," ","https://moodle.hs-hannover.de/course/view.php?id=27006 ",
STWiSe2425,HOS,WT5,SteuerTec,SRT,HOFSCHULTE,," ","https://moodle.hs-hannover.de/course/view.php?id=27006 ",
SPS-WiSe-24_25,HOY,VE4,SteuerTec,SRTV,HOYER,," ","https://moodle.hs-hannover.de/course/view.php?id=26874 ",
"Bitte per E-Mail beim Dozenten erfragen",GRM,VM3,StrahlSchuS,SSS,GRÜNEMAIER,," ","https://moodle.hs-hannover.de/course/view.php?id=27341 Strahlenschutz in Radioökologie",
statschubws2425,SCB,WI3,Statistik,STA,SCHUBERT,," ","https://moodle.hs-hannover.de/course/view.php?id=26877 ",
Newton,CLS,ID1,Statik,STK,CLASEN,," ","https://moodle.hs-hannover.de/course/view.php?id=27315 ",
WiSe2425,PFA,II1,Statik,STK,PFAHL,," ","https://moodle.hs-hannover.de/course/view.php?id=26792 ",
Newton,CLS,KT1,Statik,STK,CLASEN,," ","https://moodle.hs-hannover.de/course/view.php?id=27315 ",
WiSe2425,PFA,M1A,Statik,STK,PFAHL,," ","https://moodle.hs-hannover.de/course/view.php?id=26792 ",
St_WiSe2425,HET,M1B,Statik,STK,HENTSCHEL,," ","https://moodle.hs-hannover.de/course/view.php?id=27444 ",
Newton,CLS,MT1,Statik,STK,CLASEN,," ","https://moodle.hs-hannover.de/course/view.php?id=27315 ",
Newton,CLS,PT1,Statik,STK,CLASEN,," ","https://moodle.hs-hannover.de/course/view.php?id=27315 ",
St_WiSe2425,HET,VE1,Statik,STK,HENTSCHEL,," ","https://moodle.hs-hannover.de/course/view.php?id=27444 ",
St_WiSe2425,HET,WI1,Statik,STK,HENTSCHEL,," ","https://moodle.hs-hannover.de/course/view.php?id=27444 ",
Newton,CLS,WT1,Statik,STK,CLASEN,," ","https://moodle.hs-hannover.de/course/view.php?id=27315 ",
Newton,CLS,XF1,Statik,STK,CLASEN,," ","https://moodle.hs-hannover.de/course/view.php?id=27314 ",
Fluid,PIN,AM5,"Str.Mas L 1",STL1,PINDRUS,," ","https://moodle.hs-hannover.de/course/view.php?id=26883 ",
Fluid,PIN,VM6,"Str.Mas L 1",STL1,PINDRUS,," ","https://moodle.hs-hannover.de/course/view.php?id=26883 ",
STM1WS2425,PIN,AM5,"Str.Mas. 1",STM1,PINDRUS,," ","https://moodle.hs-hannover.de/course/view.php?id=27473 ",
STM1WS2425,PIN,VM6,"Str.Mas. 1",STM1,PINDRUS,," ","https://moodle.hs-hannover.de/course/view.php?id=27473 ",
SuS_WiSe_24/25,STK,ID3,SignaleSyst,SUS,STUECKELM,," ","https://moodle.hs-hannover.de/course/view.php?id=26960 ",
SuS_WiSe_24/25,STK,MT3,SignaleSyst,SUS,STUECKELM,," ","https://moodle.hs-hannover.de/course/view.php?id=26960 ",
wise24,MAR,ID3,"SystProg. 1",SYP1,MARCARD,," ","https://moodle.hs-hannover.de/course/view.php?id=27212 ",
wise24,MAR,MT5,"SystProg. 1",SYP1,MARCARD,," ","https://moodle.hs-hannover.de/course/view.php?id=27212 ",
wise24hsh,CAK,ID5,"SystProg. 2",SYP2,CAKAR,," ","https://moodle.hs-hannover.de/course/view.php?id=27482 ",
wise24hsh,CAK,II4,"SystProg. 2",SYP2,CAKAR,," ","https://moodle.hs-hannover.de/course/view.php?id=27482 ",
wise24hsh,CAK,II5,"SystProg. 2",SYP2,CAKAR,," ","https://moodle.hs-hannover.de/course/view.php?id=27482 ",
Schw_WiSe2425,HET,AM4,TechnSchwin,TES,HENTSCHEL,," ","https://moodle.hs-hannover.de/course/view.php?id=27446 ",
